Title,Area,Price,Rooms,Floor,Square-meter,Area-text,Elevator,Air-condition,Refurbished,Furniture
הקונגרס 5,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"7,200 ₪",4,קרקע,92," נווה שאנן, תל אביב יפו ",FALSE,TRUE,TRUE,FALSE
עבאס 33,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"1,700 ₪",1,קרקע,15," התקוה, בית יעקב, נווה צה""ל, תל אביב יפו ",FALSE,FALSE,TRUE,TRUE
הונא ,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"3,000 ₪",1,קרקע,20," התקוה, בית יעקב, נווה צה""ל, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
דרך מנחם בגין 12,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"2,400 ₪",1,2,36," נווה שאנן, תל אביב יפו ",FALSE,TRUE,TRUE,FALSE
יסוד המעלה 31,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"4,600 ₪",2,4,50," נווה שאנן, תל אביב יפו ",TRUE,TRUE,FALSE,FALSE
נתן הנביא ,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"1,500 ₪",1,קרקע,30," התקוה, בית יעקב, נווה צה""ל, תל אביב יפו ",FALSE,TRUE,FALSE,FALSE
לוינסקי 63,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"4,000 ₪",1,קרקע,20," נווה שאנן, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
לבנדה ,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"1,500 ₪",2,2,30," שפירא, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
לוינסקי ,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"6,500 ₪",4,2,80," נווה שאנן, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
חזקיהו המלך 47,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"3,000 ₪",1,קרקע,20," שפירא, תל אביב יפו ",FALSE,TRUE,FALSE,TRUE
דרך מנחם בגין 36,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"3,800 ₪",2,1,50," נווה שאנן, תל אביב יפו ",FALSE,TRUE,FALSE,FALSE
מטלון 75,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"3,700 ₪",2,3,40," נווה שאנן, תל אביב יפו ",FALSE,TRUE,TRUE,FALSE
"יש""ר מקנדיאה 27",ers\sara levi\PycharmProjects\apartments-analysis\data\south,"4,500 ₪",2.5,קרקע,80," שפירא, תל אביב יפו ",FALSE,TRUE,TRUE,FALSE
דרך מנחם בגין 4,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"5,500 ₪",2,3,60," נווה שאנן, תל אביב יפו ",TRUE,TRUE,TRUE,FALSE
בעל העקידה ,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"14,000 ₪",6,קרקע,330," שפירא, תל אביב יפו ",FALSE,TRUE,TRUE,FALSE
האקליפטוס ,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"3,600 ₪",2,1,40," התקוה, בית יעקב, נווה צה""ל, תל אביב יפו ",FALSE,TRUE,TRUE,FALSE
י.ל. פרץ ,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"5,500 ₪",4,1,100," נווה שאנן, תל אביב יפו ",FALSE,TRUE,TRUE,FALSE
"ראב""ד 31",ers\sara levi\PycharmProjects\apartments-analysis\data\south,"5,000 ₪",2.5,קרקע,80," נווה שאנן, תל אביב יפו ",FALSE,TRUE,FALSE,TRUE
י.ל. פרץ ,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"5,800 ₪",3,1,70," נווה שאנן, תל אביב יפו ",TRUE,TRUE,TRUE,TRUE
אחימעץ 4,ers\sara levi\PycharmProjects\apartments-analysis\data\south,לא צוין מחיר,4,1,100," התקוה, בית יעקב, נווה צה""ל, תל אביב יפו ",FALSE,TRUE,TRUE,FALSE
גולומב 11,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"2,950 ₪",1,1,40," שפירא, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
ישראל מסלנט 21,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"4,350 ₪",3,3,55," שפירא, תל אביב יפו ",FALSE,TRUE,FALSE,FALSE
חכמי אתונה 35,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"4,500 ₪",3,קרקע,100," שפירא, תל אביב יפו ",FALSE,TRUE,TRUE,FALSE
ישראל מסלנט ,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"6,800 ₪",4,קרקע,100," שפירא, תל אביב יפו ",FALSE,TRUE,TRUE,FALSE
שפירא ,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"10,000 ₪",5,קרקע,170,  תל אביב יפו ,FALSE,TRUE,TRUE,FALSE
בעל העקידה ,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"6,900 ₪",4,2,82," שפירא, תל אביב יפו ",TRUE,TRUE,TRUE,FALSE
מקור חיים ,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"3,800 ₪",2,קרקע,40," שפירא, תל אביב יפו ",FALSE,TRUE,TRUE,FALSE
סמטת עובד 30,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"3,800 ₪",3,קרקע,70," שפירא, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
הרב יצחק ידידיה פרנקל 69,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"4,100 ₪",2,3,35," נווה שאנן, תל אביב יפו ",TRUE,TRUE,TRUE,FALSE
נווה שאנן ,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"5,700 ₪",3,4,57," נווה שאנן, תל אביב יפו ",TRUE,TRUE,TRUE,FALSE
י.ל. פרץ 40,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"6,500 ₪",3.5,5,84," נווה שאנן, תל אביב יפו ",TRUE,TRUE,TRUE,TRUE
נווה שאנן ,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"5,200 ₪",2.5,4,52," נווה שאנן, תל אביב יפו ",TRUE,TRUE,TRUE,FALSE
יקותיאל 28,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"5,200 ₪",3,קרקע,120," התקוה, בית יעקב, נווה צה""ל, תל אביב יפו ",FALSE,TRUE,TRUE,FALSE
דרך קיבוץ גלויות 113,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"3,200 ₪",1,קרקע,25," שפירא, תל אביב יפו ",FALSE,TRUE,TRUE,FALSE
דרך קיבוץ גלויות 109,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"3,000 ₪",1,1,22," שפירא, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
הרטוב 18,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"6,000 ₪",4,1,90," התקוה, בית יעקב, נווה צה""ל, תל אביב יפו ",TRUE,TRUE,TRUE,FALSE
האסיף ,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"5,000 ₪",3,1,70," שפירא, תל אביב יפו ",TRUE,FALSE,TRUE,FALSE
שלמון 28,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"3,000 ₪",1,1,30," התקוה, בית יעקב, נווה צה""ל, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
הקונגרס 10,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"4,500 ₪",2.5,קרקע,62," נווה שאנן, תל אביב יפו ",FALSE,TRUE,TRUE,FALSE
בעל העקידה ,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"4,400 ₪",2.5,-1,46," שפירא, תל אביב יפו ",TRUE,TRUE,TRUE,FALSE
לבנדה ,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"3,500 ₪",1,2,25," שפירא, תל אביב יפו ",FALSE,TRUE,TRUE,FALSE
