Title,Area,Price,Rooms,Floor,Square-meter,Area-text,Elevator,Air-condition,Refurbished,Furniture
יוחנן הגדי 5,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"7,500 ₪",3,3,70," הצפון החדש - צפון, תל אביב יפו ",FALSE,TRUE,TRUE,FALSE
אבן גבירול ,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"5,500 ₪",2,2,60," הצפון החדש - צפון, תל אביב יפו ",FALSE,TRUE,FALSE,FALSE
הירקון 196,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"14,000 ₪",3,3,98," הצפון הישן - צפון, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
אריסטובולוס 6,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"5,650 ₪",2.5,1,54," הצפון החדש - צפון, תל אביב יפו ",FALSE,TRUE,FALSE,FALSE
בצלאל ,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"7,900 ₪",3,2,75," הצפון החדש - דרום, תל אביב יפו ",FALSE,TRUE,FALSE,FALSE
בצלאל 29,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"7,500 ₪",3,קרקע,65," הצפון החדש - דרום, תל אביב יפו ",TRUE,TRUE,TRUE,TRUE
וייצמן 123,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"7,500 ₪",3,2,98," הצפון החדש - צפון, תל אביב יפו ",FALSE,TRUE,TRUE,FALSE
אנטיגונוס 9,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"6,000 ₪",2,1,60," הצפון החדש - צפון, תל אביב יפו ",FALSE,TRUE,FALSE,TRUE
באר טוביה ,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"6,600 ₪",3,1,75," הצפון הישן - צפון, תל אביב יפו ",TRUE,TRUE,FALSE,FALSE
זכריה ,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"10,000 ₪",3,1,110," הצפון הישן - צפון, תל אביב יפו ",TRUE,TRUE,TRUE,FALSE
בלוך 1,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"10,000 ₪",4.5,2,120," הצפון החדש - דרום, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
מודיליאני 6,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"8,500 ₪",4.5,1,110," הצפון החדש - דרום, תל אביב יפו ",TRUE,TRUE,TRUE,FALSE
שטריקר 36,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"2,900 ₪",1,קרקע,30," הצפון החדש - צפון, תל אביב יפו ",FALSE,TRUE,TRUE,FALSE
ארלוזורוב 17,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"11,000 ₪",3,2,80," הצפון הישן - צפון, תל אביב יפו ",TRUE,TRUE,TRUE,TRUE
ארלוזורוב 132,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"4,900 ₪",3,3,85," הצפון החדש - דרום, תל אביב יפו ",FALSE,TRUE,TRUE,FALSE
אבן גבירול ,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"6,500 ₪",2,2,60," הצפון הישן - צפון, תל אביב יפו ",FALSE,TRUE,TRUE,FALSE
בארי 38,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"10,500 ₪",4,4,90," הצפון החדש - דרום, תל אביב יפו ",TRUE,TRUE,TRUE,TRUE
פקיעין ,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"25,000 ₪",4.5,6,180," הצפון הישן - צפון, תל אביב יפו ",TRUE,TRUE,TRUE,FALSE
בני דן ,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"8,000 ₪",3,3,80," הצפון החדש - צפון, תל אביב יפו ",TRUE,TRUE,TRUE,FALSE
"מהר""ל ",ers\sara levi\PycharmProjects\apartments-analysis\data\north,"9,500 ₪",3.5,1,115," הצפון הישן - צפון, תל אביב יפו ",FALSE,TRUE,FALSE,FALSE
יהודה המכבי 30,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"6,900 ₪",3,3,75," הצפון החדש - צפון, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
פינלס 6,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"2,500 ₪",1,קרקע,15," הצפון החדש - צפון, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
בצלאל ,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"7,400 ₪",3,2,70," הצפון החדש - דרום, תל אביב יפו ",TRUE,TRUE,FALSE,FALSE
פנקס 19,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"8,000 ₪",4,2,90," הצפון החדש - צפון, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
אשתורי הפרחי 4,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"6,500 ₪",2,3,60," הצפון הישן - צפון, תל אביב יפו ",FALSE,TRUE,FALSE,TRUE
הצפון החדש - צפון ,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"13,500 ₪",3,2,100,  תל אביב יפו ,TRUE,TRUE,FALSE,FALSE
יוחנן הורקנוס ,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"5,800 ₪",2,1,65," הצפון הישן - צפון, תל אביב יפו ",FALSE,TRUE,FALSE,TRUE
אבן גבירול 88,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"13,000 ₪",5,1,102," הצפון החדש - דרום, תל אביב יפו ",FALSE,TRUE,TRUE,FALSE
יהודה המכבי 63,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"4,500 ₪",1,1,20," הצפון החדש - צפון, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
יהודה המכבי ,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"5,000 ₪",2,1,50," הצפון החדש - צפון, תל אביב יפו ",FALSE,TRUE,TRUE,FALSE
מאנה 18,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"10,550 ₪",3,2,70," הצפון החדש - דרום, תל אביב יפו ",TRUE,TRUE,TRUE,FALSE
דה האז 18,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"7,500 ₪",3,2,56," הצפון החדש - צפון, תל אביב יפו ",FALSE,TRUE,TRUE,FALSE
ברנדייס ,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"1,800 ₪",לא צוין,קרקע,15," הצפון החדש - צפון, תל אביב יפו ",FALSE,FALSE,FALSE,FALSE
בזל ,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"7,000 ₪",2.5,4,60," הצפון הישן - צפון, תל אביב יפו ",TRUE,TRUE,TRUE,FALSE
אנטוקולסקי 3,ers\sara levi\PycharmProjects\apartments-analysis\data\north,לא צוין מחיר,3.5,3,100," הצפון החדש - דרום, תל אביב יפו ",TRUE,TRUE,TRUE,TRUE
עמוס 8,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"11,500 ₪",3,3,90," הצפון הישן - צפון, תל אביב יפו ",TRUE,TRUE,TRUE,FALSE
מרים החשמונאית ,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"8,300 ₪",3,2,82," הצפון החדש - צפון, תל אביב יפו ",FALSE,TRUE,FALSE,TRUE
פקיעין 10,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"29,000 ₪",5,3,180," הצפון הישן - צפון, תל אביב יפו ",TRUE,TRUE,FALSE,FALSE
ארלוזורוב 75,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"7,200 ₪",3,2,75," הצפון הישן - צפון, תל אביב יפו ",FALSE,TRUE,TRUE,FALSE
לסר אורי 8,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"10,500 ₪",4,10,115," הצפון החדש - דרום, תל אביב יפו ",TRUE,TRUE,TRUE,FALSE
רב צעיר ,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"4,400 ₪",1,3,31," הצפון החדש - צפון, תל אביב יפו ",TRUE,TRUE,TRUE,FALSE
אבן גבירול 178,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"7,000 ₪",3.5,3,85," הצפון החדש - צפון, תל אביב יפו ",FALSE,TRUE,FALSE,TRUE
בן יהודה 165,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"6,000 ₪",3,2,87," הצפון הישן - צפון, תל אביב יפו ",FALSE,TRUE,FALSE,FALSE
שדרות סמאטס 24,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"5,300 ₪",2,3,60," הצפון החדש - צפון, תל אביב יפו ",FALSE,TRUE,TRUE,FALSE
שמעון התרסי 12,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"7,000 ₪",3,2,80," הצפון הישן - צפון, תל אביב יפו ",FALSE,TRUE,TRUE,FALSE
דיזנגוף 190,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"5,500 ₪",2,2,40," הצפון הישן - צפון, תל אביב יפו ",TRUE,TRUE,TRUE,TRUE
דרך מנחם בגין 144,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"7,000 ₪",3,17,70," מונטיפיורי, הרכבת, תל אביב יפו ",TRUE,TRUE,FALSE,TRUE
"ד""ר שמעון ברנפלד 10",ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"5,000 ₪",3,2,70," תל חיים, תל אביב יפו ",FALSE,TRUE,TRUE,FALSE
דרך מנחם בגין 72,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"3,200 ₪",1,1,22," מונטיפיורי, הרכבת, תל אביב יפו ",FALSE,TRUE,FALSE,TRUE
יצחק שדה 68,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"5,400 ₪",3,2,70," יד אליהו, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
עמישב 30,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"4,400 ₪",2.5,2,60," תל חיים, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
המסגר 8,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"3,100 ₪",2,3,35," מונטיפיורי, הרכבת, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
דרך מנחם בגין 144,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"7,500 ₪",2,16,68," מונטיפיורי, הרכבת, תל אביב יפו ",TRUE,TRUE,TRUE,TRUE
שלמה בובר ,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"4,200 ₪",2,קרקע,48," תל חיים, תל אביב יפו ",FALSE,TRUE,FALSE,FALSE
עמישב 10,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"4,400 ₪",2,3,50," תל חיים, תל אביב יפו ",FALSE,TRUE,FALSE,FALSE
דרך מנחם בגין 144,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"7,500 ₪",3.5,18,76," מונטיפיורי, הרכבת, תל אביב יפו ",TRUE,TRUE,TRUE,FALSE
עמישב 20,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"4,200 ₪",2.5,2,60," תל חיים, תל אביב יפו ",FALSE,TRUE,FALSE,FALSE
עמישב 4,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"4,000 ₪",2.5,2,55," תל חיים, תל אביב יפו ",FALSE,TRUE,FALSE,FALSE
"ד""ר שמעון ברנפלד 11",ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"6,000 ₪",4,1,85," תל חיים, תל אביב יפו ",FALSE,FALSE,FALSE,FALSE
דרך השלום 95,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"3,800 ₪",2,3,55," תל חיים, תל אביב יפו ",FALSE,TRUE,FALSE,FALSE
דרך השלום 79,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"4,600 ₪",2.5,קרקע,65," תל חיים, תל אביב יפו ",FALSE,TRUE,TRUE,FALSE
לה גווארדיה 62,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"5,100 ₪",3,1,70," יד אליהו, תל אביב יפו ",FALSE,FALSE,FALSE,FALSE
שונצינו ,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"3,400 ₪",1,4,35," מונטיפיורי, הרכבת, תל אביב יפו ",TRUE,TRUE,TRUE,TRUE
דרך מנחם בגין 144,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"18,000 ₪",4,40,148," מונטיפיורי, הרכבת, תל אביב יפו ",TRUE,TRUE,TRUE,FALSE
דרך מנחם בגין 144,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"11,000 ₪",4,42,134," מונטיפיורי, הרכבת, תל אביב יפו ",TRUE,TRUE,TRUE,TRUE
"ד""ר אברהם אליהו הרכבי 10",ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"3,500 ₪",2.5,קרקע,32," תל חיים, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
בן אביגדור ,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"4,500 ₪",3,2,55," מונטיפיורי, הרכבת, תל אביב יפו ",TRUE,TRUE,TRUE,TRUE
דרך השלום 91,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"4,000 ₪",2.5,4,55," תל חיים, תל אביב יפו ",FALSE,TRUE,FALSE,FALSE
דרך מנחם בגין 144,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"18,000 ₪",3.5,40,147," מונטיפיורי, הרכבת, תל אביב יפו ",TRUE,TRUE,TRUE,TRUE
המערכה 22,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"4,800 ₪",3,3,64," יד אליהו, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
בן אביגדור 2,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"4,490 ₪",2,2,50," מונטיפיורי, הרכבת, תל אביב יפו ",TRUE,TRUE,TRUE,TRUE
דרך השלום 101,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"6,380 ₪",4,2,90," תל חיים, תל אביב יפו ",FALSE,TRUE,TRUE,FALSE
דרך מנחם בגין 144,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"9,800 ₪",4,41,120," מונטיפיורי, הרכבת, תל אביב יפו ",TRUE,TRUE,TRUE,FALSE
שונצינו ,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"3,900 ₪",2,3,40," מונטיפיורי, הרכבת, תל אביב יפו ",TRUE,TRUE,TRUE,TRUE
בנימין זאב באכר 8,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,430 ₪,לא צוין,2,1," תל חיים, תל אביב יפו ",FALSE,FALSE,FALSE,FALSE
דרך מנחם בגין 144,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"7,800 ₪",3,16,70," מונטיפיורי, הרכבת, תל אביב יפו ",TRUE,TRUE,TRUE,TRUE
בן אביגדור ,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"4,500 ₪",3,2,50," מונטיפיורי, הרכבת, תל אביב יפו ",TRUE,TRUE,TRUE,TRUE
"ד""ר אברהם אליהו הרכבי ",ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"3,000 ₪",2,קרקע,40," תל חיים, תל אביב יפו ",FALSE,TRUE,FALSE,TRUE
יצחק שדה 36,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"3,300 ₪",1,3,30," מונטיפיורי, הרכבת, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
דרך מנחם בגין 150,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"9,000 ₪",3,27,100," מונטיפיורי, הרכבת, תל אביב יפו ",TRUE,TRUE,FALSE,FALSE
דרך משה דיין 51,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"4,500 ₪",4,3,80," יד אליהו, תל אביב יפו ",FALSE,TRUE,FALSE,FALSE
דרך מנחם בגין 144,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"8,500 ₪",3,15,71," מונטיפיורי, הרכבת, תל אביב יפו ",TRUE,TRUE,FALSE,TRUE
נגבה 24,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"5,000 ₪",3,4,68," יד אליהו, תל אביב יפו ",TRUE,TRUE,TRUE,FALSE
דרך מנחם בגין 144,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"8,500 ₪",3,30,73," מונטיפיורי, הרכבת, תל אביב יפו ",TRUE,TRUE,FALSE,TRUE
"ד""ר אברהם אליהו הרכבי 13",ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"6,300 ₪",4,3,96," תל חיים, תל אביב יפו ",TRUE,TRUE,TRUE,FALSE
דרך מנחם בגין 144,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"7,000 ₪",3,20,12," מונטיפיורי, הרכבת, תל אביב יפו ",TRUE,TRUE,FALSE,TRUE
שדרות יהודית ,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"5,500 ₪",2,3,43," מונטיפיורי, הרכבת, תל אביב יפו ",TRUE,TRUE,TRUE,TRUE
"ד""ר אברהם אליהו הרכבי ",ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"6,200 ₪",4,5,95," תל חיים, תל אביב יפו ",TRUE,TRUE,TRUE,FALSE
בן אביגדור ,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"4,490 ₪",2,2,55," מונטיפיורי, הרכבת, תל אביב יפו ",TRUE,TRUE,TRUE,TRUE
נתן ילין מור 18,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"6,500 ₪",3,1,60," מונטיפיורי, הרכבת, תל אביב יפו ",TRUE,TRUE,TRUE,FALSE
שדרות יהודית 34,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"5,500 ₪",2,2,46," מונטיפיורי, הרכבת, תל אביב יפו ",TRUE,TRUE,FALSE,FALSE
הגיבור האלמוני 74,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"6,000 ₪",4,2,105," יד אליהו, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
"ד""ר אברהם אליהו הרכבי ",ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"6,000 ₪",4,3,100," תל חיים, תל אביב יפו ",FALSE,TRUE,FALSE,FALSE
דרך מנחם בגין 150,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"7,500 ₪",3,21,81," מונטיפיורי, הרכבת, תל אביב יפו ",TRUE,TRUE,FALSE,FALSE
דרך הטייסים 10,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"5,700 ₪",3,3,78," תל חיים, תל אביב יפו ",FALSE,TRUE,TRUE,FALSE
דרך משה דיין 61,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"5,700 ₪",4,7,80," יד אליהו, תל אביב יפו ",TRUE,TRUE,TRUE,TRUE
דרך השלום 93,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"4,000 ₪",2,1,49," תל חיים, תל אביב יפו ",FALSE,TRUE,FALSE,TRUE
הגיבור האלמוני 6,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"5,500 ₪",4,4,110," יד אליהו, תל אביב יפו ",FALSE,TRUE,FALSE,FALSE
פרזון 15,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"4,600 ₪",3,1,55," יד אליהו, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
"ד""ר שמעון ברנפלד 20",ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"4,400 ₪",3,4,65," תל חיים, תל אביב יפו ",FALSE,TRUE,FALSE,FALSE
עמישב 32,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"3,700 ₪",2,3,45," תל חיים, תל אביב יפו ",FALSE,TRUE,TRUE,FALSE
יפתח 16,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"9,500 ₪",4,6,115," יד אליהו, תל אביב יפו ",TRUE,TRUE,TRUE,FALSE
דרך השלום 99,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"4,300 ₪",2,3,50," תל חיים, תל אביב יפו ",FALSE,TRUE,FALSE,FALSE
דרך השלום 91,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"3,000 ₪",1.5,3,25," תל חיים, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
לה גווארדיה 28,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"4,500 ₪",3.5,4,74," יד אליהו, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
לה גווארדיה 24,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"4,000 ₪",2,4,65," יד אליהו, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
שלמה בובר 22,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"8,000 ₪",4,קרקע,185," תל חיים, תל אביב יפו ",FALSE,TRUE,FALSE,FALSE
בנימין זאב באכר 10,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"6,200 ₪",4,2,100," תל חיים, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
נתן ילין מור ,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"7,700 ₪",4,4,90," מונטיפיורי, הרכבת, תל אביב יפו ",TRUE,TRUE,FALSE,FALSE
דרך מנחם בגין 144,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"7,900 ₪",3,28,72," מונטיפיורי, הרכבת, תל אביב יפו ",TRUE,TRUE,TRUE,FALSE
רחבת הגייסות 6,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"4,400 ₪",2.5,3,60," יד אליהו, תל אביב יפו ",FALSE,TRUE,FALSE,TRUE
דרך השלום 99,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"4,000 ₪",2,2,60," תל חיים, תל אביב יפו ",FALSE,TRUE,FALSE,TRUE
הגיבור האלמוני 36,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"5,500 ₪",3,4,80," יד אליהו, תל אביב יפו ",FALSE,TRUE,FALSE,TRUE
דרך השלום 89,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,לא צוין מחיר,3,2,55," תל חיים, תל אביב יפו ",FALSE,TRUE,TRUE,FALSE
"ד""ר שמעון ברנפלד ",ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"4,300 ₪",3,קרקע,75," תל חיים, תל אביב יפו ",FALSE,TRUE,TRUE,FALSE
סר ג'ון מונש 9,ers\sara levi\PycharmProjects\apartments-analysis\data\center-east,"4,200 ₪",3,4,75," יד אליהו, תל אביב יפו ",FALSE,TRUE,FALSE,FALSE
"מיכ""ל ",ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"9,500 ₪",4,1,95," לב תל אביב, לב העיר צפון, תל אביב יפו ",TRUE,TRUE,TRUE,FALSE
נווה צדק ,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"11,000 ₪",3,2,85,  תל אביב יפו ,TRUE,TRUE,TRUE,TRUE
אילת 61,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"1,000 ₪",לא צוין,קרקע,1," נווה צדק, תל אביב יפו ",FALSE,FALSE,FALSE,FALSE
בורוכוב 12,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"6,500 ₪",2.5,3,75," לב תל אביב, לב העיר צפון, תל אביב יפו ",FALSE,TRUE,FALSE,TRUE
"מזא""ה 56",ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,לא צוין מחיר,לא צוין,קרקע,9," לב תל אביב, לב העיר צפון, תל אביב יפו ",FALSE,FALSE,FALSE,FALSE
הירקון 78,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"15,000 ₪",3,29,98," לב תל אביב, לב העיר צפון, תל אביב יפו ",TRUE,TRUE,TRUE,TRUE
נווה צדק ,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"24,500 ₪",4,3,130,  תל אביב יפו ,FALSE,TRUE,TRUE,FALSE
לונץ 3,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"7,500 ₪",2.5,2,72," לב תל אביב, לב העיר צפון, תל אביב יפו ",FALSE,TRUE,TRUE,FALSE
דרך מנחם בגין 19,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"3,300 ₪",1,3,25," לב תל אביב, לב העיר צפון, תל אביב יפו ",TRUE,TRUE,TRUE,TRUE
יצחק אלחנן ,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"1,234 ₪",4,5,200," נווה צדק, תל אביב יפו ",TRUE,TRUE,TRUE,TRUE
המגיד 5,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"7,200 ₪",2.5,4,50," לב תל אביב, לב העיר צפון, תל אביב יפו ",TRUE,TRUE,TRUE,FALSE
"רש""י 39",ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"15,000 ₪",5,1,145," לב תל אביב, לב העיר צפון, תל אביב יפו ",FALSE,TRUE,TRUE,FALSE
קלישר 23,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"11,000 ₪",3,קרקע,140," לב תל אביב, לב העיר צפון, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
מחנה יוסף 25,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"9,000 ₪",3,קרקע,80," נווה צדק, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
שדרות רוטשילד 62,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"14,000 ₪",3.5,2,120," לב תל אביב, לב העיר צפון, תל אביב יפו ",TRUE,TRUE,TRUE,TRUE
שלוש ,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"16,000 ₪",5,קרקע,20," נווה צדק, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
צבי ברוק ,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"6,500 ₪",3,1,66," לב תל אביב, לב העיר צפון, תל אביב יפו ",FALSE,TRUE,TRUE,FALSE
נחמני ,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"6,000 ₪",2,1,55," לב תל אביב, לב העיר צפון, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
יצחק אלחנן 3,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,לא צוין מחיר,2,3,50," נווה צדק, תל אביב יפו ",FALSE,TRUE,FALSE,FALSE
שדרות רוטשילד ,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"8,500 ₪",3,2,90," לב תל אביב, לב העיר צפון, תל אביב יפו ",TRUE,TRUE,TRUE,FALSE
פינס ,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"8,000 ₪",3,קרקע,65," נווה צדק, תל אביב יפו ",FALSE,TRUE,FALSE,TRUE
שביל האטד 4,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"4,900 ₪",2.5,קרקע,55," נווה צדק, תל אביב יפו ",FALSE,TRUE,TRUE,FALSE
שיינקין ,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"10,900 ₪",4,3,95," לב תל אביב, לב העיר צפון, תל אביב יפו ",TRUE,TRUE,TRUE,TRUE
אחווה 28,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"12,800 ₪",2.5,1,80," נווה צדק, תל אביב יפו ",FALSE,TRUE,TRUE,FALSE
שדרות רוטשילד ,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"8,000 ₪",3,1,90," לב תל אביב, לב העיר צפון, תל אביב יפו ",TRUE,TRUE,TRUE,TRUE
נווה צדק ,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"11,500 ₪",5,2,104,  תל אביב יפו ,TRUE,TRUE,FALSE,FALSE
בלפור ,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"9,800 ₪",4,2,100," לב תל אביב, לב העיר צפון, תל אביב יפו ",TRUE,TRUE,TRUE,FALSE
